route_nr,weight,algorithm,distance,total_weight
1,distance_acc,dijkstra,2437.04,2440.38
1,inclination,dijkstra,2567.15,32941.09
1,width,dijkstra,2594.31,38565699.30
1,time,dijkstra,2437.04,175.71
2,distance_acc,dijkstra,1787.82,1791.75
2,inclination,dijkstra,1787.82,23139.42
2,width,dijkstra,1825.09,56163302.28
2,time,dijkstra,1787.82,129.01
3,distance_acc,dijkstra,2372.27,2386.90
3,inclination,dijkstra,2414.01,32598.67
3,width,dijkstra,3334.98,76451048.78
3,time,dijkstra,2373.79,173.42
4,distance_acc,dijkstra,304.76,288.47
4,inclination,dijkstra,325.82,11803.16
4,width,dijkstra,294.65,10579687.74
4,time,dijkstra,285.19,28.31
1,distance_acc,astar,2601.73,2618.70
1,inclination,astar,2601.73,47359.46
1,width,astar,2572.63,38565952.30
1,time,astar,2601.73,191.93
2,distance_acc,astar,1794.61,1798.54
2,inclination,astar,1794.61,23339.14
2,width,astar,1794.61,57330509.70
2,time,astar,1794.61,129.49
3,distance_acc,astar,2726.20,2741.72
3,inclination,astar,2726.20,39616.22
3,width,astar,2539.52,84390734.85
3,time,astar,2726.20,323.36
4,distance_acc,astar,340.59,347.27
4,inclination,astar,343.68,12005.99
4,width,astar,312.52,10579690.38
4,time,astar,343.68,44.94
