route_nr,weight,algorithm,distance,total_weight,name
1,distance_acc,dijkstra,2437.04,2440.38,dijkstra_distance_acc_1
1,inclination,dijkstra,2567.15,32941.09,dijkstra_inclination_1
1,width,dijkstra,2594.31,38565699.30,dijkstra_width_1
1,time,dijkstra,2437.04,175.71,dijkstra_time_1
2,distance_acc,dijkstra,1787.82,1791.75,dijkstra_distance_acc_2
2,inclination,dijkstra,1787.82,23139.42,dijkstra_inclination_2
2,width,dijkstra,1825.09,56163302.28,dijkstra_width_2
2,time,dijkstra,1787.82,129.01,dijkstra_time_2
3,distance_acc,dijkstra,2372.27,2386.90,dijkstra_distance_acc_3
3,inclination,dijkstra,2414.01,32598.67,dijkstra_inclination_3
3,width,dijkstra,3334.98,76451048.78,dijkstra_width_3
3,time,dijkstra,2373.79,173.42,dijkstra_time_3
4,distance_acc,dijkstra,304.76,288.47,dijkstra_distance_acc_4
4,inclination,dijkstra,325.82,11803.16,dijkstra_inclination_4
4,width,dijkstra,294.65,10579687.74,dijkstra_width_4
4,time,dijkstra,285.19,28.31,dijkstra_time_4
1,distance_acc,astar,2601.73,2618.70,astar_distance_acc_1
1,inclination,astar,2601.73,47359.46,astar_inclination_1
1,width,astar,2572.63,38565952.30,astar_width_1
1,time,astar,2601.73,191.93,astar_time_1
2,distance_acc,astar,1794.61,1798.54,astar_distance_acc_2
2,inclination,astar,1794.61,23339.14,astar_inclination_2
2,width,astar,1794.61,57330509.70,astar_width_2
2,time,astar,1794.61,129.49,astar_time_2
3,distance_acc,astar,2726.20,2741.72,astar_distance_acc_3
3,inclination,astar,2726.20,39616.22,astar_inclination_3
3,width,astar,2539.52,84390734.85,astar_width_3
3,time,astar,2726.20,323.36,astar_time_3
4,distance_acc,astar,340.59,347.27,astar_distance_acc_4
4,inclination,astar,343.68,12005.99,astar_inclination_4
4,width,astar,312.52,10579690.38,astar_width_4
4,time,astar,343.68,44.94,astar_time_4
